,Set 1,Set 2,Set 3
aqi,-0.00039335445854946777,-0.00039335445854946777,-0.00039335445854946777
aqi_category,,,-0.001625622695966077
city_freq,0.003358867266334465,0.003358867266334465,0.003358867266334465
day_of_week,-0.0028864229704542153,,-0.0028864229704542153
density_Suburban,-0.0009563832506601629,-0.0009563832506601629,-0.0009563832506601629
density_Urban,-0.0005023215747165661,-0.0005023215747165661,-0.0005023215747165661
hospital_utilization,0.2988147863545128,0.2988147863545128,0.2988147863545128
humidity,9.882924510522836e-06,9.882924510522836e-06,9.882924510522836e-06
is_weekend,-0.0027035476929206286,,-0.0027035476929206286
month,0.005726038176211556,,0.005726038176211556
no2,0.001279013933403311,0.001279013933403311,0.001279013933403311
no2_o3_ratio,,0.0008208684038891318,0.0008208684038891318
o3,-0.0030319593291496263,-0.0030319593291496263,-0.0030319593291496263
pm10,0.0005374456958405516,0.0005374456958405516,0.0005374456958405516
pm2_5,0.3923087916068885,0.3923087916068885,0.3923087916068885
pm_interaction,,0.27426008222156634,0.27426008222156634
season,0.001950406162922312,,0.001950406162922312
temperature,-0.0037828286819975247,-0.0037828286819975247,-0.0037828286819975247
thermal_stress,,-0.003772195394787571,-0.003772195394787571
